table_name,field_name,data_type,identity,len,dec,index,constraint
mas_fintech,fin_id,int,yes,,,,
mas_fintech,fin_name,varchar, ,50,,yes,
mas_fintech,fin_short_name,varchar, ,10,,,
mas_category,cat_id,int,yes,,,,
mas_category,cat_name,varchar, ,50,,yes,
mas_category,cat_type,varchar, ,2,,,
mas_investments,inv_id,int,yes,,,,
mas_investments,cat_id,int,,,,,FOREIGN KEY (cat_id) REFERENCES mas_category(cat_id)
mas_investments,inv_name,varchar, ,50,,yes,
mas_investments,inv_short_name,varchar, ,10,,,
